Sat Sep 19 15:57:37 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_full_profile_repeated256_v2/profile/worker.pstats

         51645601 function calls (48919657 primitive calls) in 38.857 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    37013    0.019    0.000    0.141    0.000 functions.py:309(<listcomp>)
       91    0.008    0.000    0.140    0.002 bytecode.py:288(__init__)
     3785    0.002    0.000    0.139    0.000 cgutils.py:931(gep_inbounds)
     3787    0.007    0.000    0.136    0.000 cgutils.py:938(gep)
      290    0.001    0.000    0.135    0.000 cgutils.py:696(get_item_pointer)
        3    0.000    0.000    0.135    0.045 decorators.py:1(<module>)
     6914    0.012    0.000    0.135    0.000 typeinfer.py:1485(resolve_value_type)
     2697    0.134    0.000    0.134    0.000 {method 'read' of '_io.BufferedReader' objects}
   109283    0.034    0.000    0.131    0.000 {built-in method builtins.any}
  995/736    0.001    0.000    0.129    0.000 context.py:232(refresh)
       12    0.000    0.000    0.128    0.011 caching.py:733(save_overload)
       12    0.000    0.000    0.128    0.011 caching.py:740(_save_overload)
     1460    0.003    0.000    0.128    0.000 analysis.py:76(fix_point)
      778    0.004    0.000    0.128    0.000 module.py:11(parse_assembly)
      440    0.004    0.000    0.127    0.000 callconv.py:853(call_function)
       14    0.127    0.009    0.127    0.009 wall_shadows.py:107(_wall23)
      285    0.001    0.000    0.127    0.000 base.py:903(call_internal)
        2    0.000    0.000    0.126    0.063 datetime.py:1(<module>)
     2772    0.001    0.000    0.124    0.000 cgutils.py:144(_get_ptr_by_index)
     4178    0.005    0.000    0.123    0.000 base.py:1202(__init__)
       69    0.007    0.000    0.123    0.002 typed_passes.py:621(run_pass)
    70048    0.026    0.000    0.123    0.000 functions.py:234(_unlit_non_poison)
       24    0.000    0.000    0.122    0.005 persistence.py:154(save_state)
4150/3770    0.009    0.000    0.121    0.000 copy.py:201(_deepcopy_list)
    76013    0.087    0.000    0.121    0.000 _utils.py:24(deduplicate)
        4    0.000    0.000    0.121    0.030 context.py:1(<module>)
      108    0.000    0.000    0.120    0.001 ssa.py:83(_fix_ssa_vars)
     3660    0.011    0.000    0.120    0.000 svf.py:47(annulus_weight)
    90930    0.111    0.000    0.119    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.118    0.118 stencil.py:1(<module>)
     4178    0.006    0.000    0.118    0.000 base.py:1231(__call__)
90930/86053    0.033    0.000    0.117    0.000 contextlib.py:141(__exit__)
1532331/1532330    0.070    0.000    0.116    0.000 {method 'extend' of 'list' objects}
