Sat Sep 19 15:59:11 2026    /Users/alansynn/Workspace/solweig-light/reports/p7_profile_small_warmed_v1/profile/worker.pstats

         48063836 function calls (45337892 primitive calls) in 19.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12189    0.006    0.000    0.245    0.000 inspect.py:3261(signature)
    14805    0.011    0.000    0.245    0.000 targetconfig.py:188(__hash__)
        2    0.000    0.000    0.244    0.122 _support_alternative_backends.py:1(<module>)
     2332    0.001    0.000    0.244    0.000 ir.py:1545(infer_constant)
      728    0.003    0.000    0.243    0.000 postproc.py:52(deadmaps)
4170/2332    0.003    0.000    0.242    0.000 consts.py:24(infer_constant)
105989/105849    0.042    0.000    0.242    0.000 context.py:628(can_convert)
    50880    0.034    0.000    0.241    0.000 event.py:404(end_event)
    42377    0.087    0.000    0.241    0.000 utils.py:306(order_by_target_specificity)
3912/2206    0.004    0.000    0.240    0.000 consts.py:56(_do_infer)
    12189    0.006    0.000    0.239    0.000 inspect.py:3007(from_callable)
       89    0.000    0.000    0.234    0.003 untyped_passes.py:118(run_pass)
12223/12190    0.036    0.000    0.233    0.000 inspect.py:2435(_signature_from_callable)
    45207    0.014    0.000    0.228    0.000 base.py:1268(exit_fn)
       24    0.001    0.000    0.227    0.009 persistence.py:419(checkpoint)
       69    0.001    0.000    0.225    0.003 lowering.py:30(__init__)
      691    0.003    0.000    0.224    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
     3252    0.021    0.000    0.223    0.000 templates.py:409(apply)
   223234    0.093    0.000    0.223    0.000 event.py:243(notify)
      280    0.001    0.000    0.223    0.001 numbers.py:206(int_power_impl)
    10924    0.014    0.000    0.219    0.000 lowering.py:1636(decref)
     1278    0.001    0.000    0.216    0.000 visibility_compiled.py:54(_descriptor)
    11056    0.004    0.000    0.216    0.000 context.py:413(decref)
       69    0.001    0.000    0.216    0.003 lowering.py:349(init)
       81    0.003    0.000    0.216    0.003 typeinfer.py:1033(build_constraint)
       69    0.015    0.000    0.216    0.003 lowering.py:365(_find_singly_assigned_variable)
     3462    0.011    0.000    0.214    0.000 typeinfer.py:710(__call__)
    10485    0.004    0.000    0.213    0.000 typeinfer.py:1396(constrain_statement)
      546    0.005    0.000    0.213    0.000 ir_print.py:11(match)
      290    0.002    0.000    0.212    0.001 arrayobj.py:431(basic_indexing)
    78241    0.035    0.000    0.211    0.000 values.py:557(_set_name)
    18798    0.023    0.000    0.210    0.000 typeof.py:27(typeof)
     9883    0.010    0.000    0.208    0.000 typeinfer.py:1465(typeof_assign)
      513    0.000    0.000    0.208    0.000 inline_closurecall.py:1474(match)
    12614    0.013    0.000    0.208    0.000 errors.py:577(__init__)
      511    0.018    0.000    0.207    0.000 inline_closurecall.py:1487(_inline_const_arraycall)
    45215    0.021    0.000    0.206    0.000 ffi.py:77(__enter__)
     1841    0.011    0.000    0.203    0.000 ir.py:614(infer_constant)
  1865677    0.129    0.000    0.202    0.000 {method 'get' of 'dict' objects}
   704920    0.101    0.000    0.201    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.201    0.201 engine.py:1(<module>)
354897/271771    0.123    0.000    0.199    0.000 abstract.py:121(__hash__)
       20    0.000    0.000    0.197    0.010 callwrapper.py:101(build)
    90930    0.074    0.000    0.196    0.000 contextlib.py:299(helper)
     2349    0.001    0.000    0.195    0.000 errors.py:748(__init__)
       20    0.001    0.000    0.195    0.010 callwrapper.py:126(build_wrapper)
     2008    0.029    0.000    0.192    0.000 ir.py:115(strformat)
    50880    0.035    0.000    0.191    0.000 event.py:390(start_event)
    12922    0.014    0.000    0.190    0.000 builder.py:974(extract_value)
    42096    0.036    0.000    0.187    0.000 byteflow.py:332(dispatch)
        1    0.000    0.000    0.185    0.185 arrayobj.py:2802(_change_dtype)
      221    0.001    0.000    0.183    0.001 arrayobj.py:515(_getitem_array_generic)
    45207    0.013    0.000    0.181    0.000 base.py:1265(enter_fn)
18823/18799    0.013    0.000    0.179    0.000 functools.py:904(wrapper)
       91    0.017    0.000    0.177    0.002 interpreter.py:986(peep_hole_delete_with_exit)
    78241    0.045    0.000    0.176    0.000 _utils.py:16(register)
     1732    0.003    0.000    0.176    0.000 codegen.py:1249(_function_pass_manager)
      216    0.021    0.000    0.175    0.001 ssa.py:183(_run_block_rewrite)
    12185    0.059    0.000    0.170    0.000 inspect.py:2331(_signature_from_function)
    12922    0.010    0.000    0.168    0.000 instructions.py:693(__init__)
    85161    0.056    0.000    0.167    0.000 typeconv.py:40(check_compatible)
   112457    0.094    0.000    0.166    0.000 engine.py:1704(_operate)
      728    0.006    0.000    0.163    0.000 postproc.py:46(livemap)
       93    0.001    0.000    0.160    0.002 arrayobj.py:556(getitem_array_tuple)
26993/26843    0.024    0.000    0.158    0.000 abstract.py:61(__call__)
      730    0.003    0.000    0.158    0.000 analysis.py:60(compute_live_map)
    12600    0.025    0.000    0.157    0.000 interpreter.py:1840(store)
      691    0.001    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     9985    0.011    0.000    0.153    0.000 lowering.py:1534(storevar)
     3885    0.002    0.000    0.150    0.000 ir.py:101(_get_path)
     3887    0.010    0.000    0.148    0.000 <frozen posixpath>:490(relpath)
    20877    0.011    0.000    0.147    0.000 inline_closurecall.py:1626(list_var_used)
        1    0.000    0.000    0.147    0.147 _ndimage_api.py:1(<module>)
     3785    0.002    0.000    0.144    0.000 cgutils.py:931(gep_inbounds)
      759    0.004    0.000    0.143    0.000 cgutils.py:101(__init__)
