Sat Sep 19 15:59:32 2026    reports/p7_profile_small_warmed_v1/warm_profile/worker.warm.pstats

         2943243 function calls (2819311 primitive calls) in 2.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.000    0.008    0.004 byteflow.py:86(run)
    12095    0.007    0.000    0.008    0.000 numpy_support.py:338(ufunc_can_cast)
      215    0.000    0.000    0.008    0.000 values.py:1178(<listcomp>)
        1    0.000    0.000    0.008    0.008 uuid.py:1(<module>)
        1    0.000    0.000    0.008    0.008 osr.py:1(<module>)
       19    0.000    0.000    0.008    0.000 _format_impl.py:890(open_memmap)
        1    0.000    0.000    0.008    0.008 _decomp_lu.py:1(<module>)
        1    0.000    0.000    0.008    0.008 value.py:1(<module>)
      491    0.003    0.000    0.008    0.000 inspect.py:2331(_signature_from_function)
        1    0.000    0.000    0.008    0.008 core.py:1(<module>)
        2    0.000    0.000    0.008    0.004 typed_passes.py:562(run_pass)
        2    0.000    0.000    0.008    0.004 ir_utils.py:2155(check_and_legalize_ir)
        1    0.000    0.000    0.008    0.008 shape_base.py:1(<module>)
      243    0.001    0.000    0.008    0.000 _docscrape.py:548(__str__)
       12    0.000    0.000    0.008    0.001 __init__.py:31(message_from_string)
        1    0.000    0.000    0.008    0.008 identities.py:40(geometry_identity)
        2    0.000    0.000    0.008    0.004 interpreter.py:1443(post_process)
        2    0.000    0.000    0.008    0.004 untyped_passes.py:224(run_pass)
     1218    0.001    0.000    0.008    0.000 values.py:544(_to_string)
        1    0.000    0.000    0.008    0.008 _add_newdocs.py:1(<module>)
       10    0.000    0.000    0.007    0.001 typeconv.py:103(safe_unsafe)
      793    0.000    0.000    0.007    0.000 functools.py:904(wrapper)
        1    0.000    0.000    0.007    0.007 polygon_array.py:455(__init__)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 nrt.py:1(<module>)
      172    0.000    0.000    0.007    0.000 _array_api.py:744(_make_capabilities_note)
     1307    0.000    0.000    0.007    0.000 _docscrape.py:85(read_to_next_unindented_line)
     1372    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      125    0.000    0.000    0.007    0.000 dataclasses.py:413(_create_fn)
