Sat Sep 19 16:22:50 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_distinct_variant/small_v1/profile/worker.pstats

         7198627 function calls (6895792 primitive calls) in 4.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.051    0.001 values.py:1003(descr_body)
      668    0.001    0.000    0.050    0.000 values.py:1176(descr)
      776    0.008    0.000    0.050    0.000 context.py:703(resolve_overload)
      252    0.002    0.000    0.050    0.000 ground_view.py:141(_gather)
     3435    0.011    0.000    0.049    0.000 targetconfig.py:200(<dictcomp>)
      668    0.001    0.000    0.049    0.000 values.py:1178(<listcomp>)
     1356    0.016    0.000    0.049    0.000 numpy_support.py:356(ufunc_find_matching_loop)
      351    0.001    0.000    0.049    0.000 context.py:811(load_additional_registries)
      588    0.000    0.000    0.048    0.000 __init__.py:225(compile)
   351/92    0.000    0.000    0.048    0.001 context.py:482(_load_builtins)
        3    0.000    0.000    0.048    0.016 lowering.py:273(create_cpython_wrapper)
        3    0.000    0.000    0.048    0.016 cpu.py:225(create_cpython_wrapper)
      172    0.001    0.000    0.047    0.000 _compiler.py:740(compile)
     4284    0.003    0.000    0.047    0.000 visibility_native.py:103(__getitem__)
        2    0.000    0.000    0.045    0.023 rules.py:1(<module>)
      103    0.000    0.000    0.045    0.000 postproc.py:52(deadmaps)
     7501    0.008    0.000    0.044    0.000 values.py:544(_to_string)
        1    0.000    0.000    0.044    0.044 <frozen runpy>:105(_get_module_details)
        2    0.000    0.000    0.044    0.022 ufuncbuilder.py:202(_build_element_wise_ufunc_wrapper)
        2    0.000    0.000    0.044    0.022 _basic.py:1(<module>)
      216    0.044    0.000    0.044    0.000 patch_radiation.py:396(_longwave_serial)
        1    0.000    0.000    0.043    0.043 _support_alternative_backends.py:871(<dictcomp>)
       91    0.000    0.000    0.043    0.000 _support_alternative_backends.py:86(wrapper)
      275    0.001    0.000    0.043    0.000 templates.py:907(_get_target_registry)
     4284    0.002    0.000    0.043    0.000 visibility.py:145(__getitem__)
        2    0.000    0.000    0.043    0.021 coord_accessors.py:244(create_coord_accessor)
        2    0.006    0.003    0.043    0.021 coord_accessors.py:96(__init__)
       24    0.000    0.000    0.043    0.002 persistence.py:414(write)
      259    0.000    0.000    0.042    0.000 templates.py:1054(__init__)
      802    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
       24    0.001    0.000    0.042    0.002 rasters.py:66(write)
      802    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
       39    0.000    0.000    0.041    0.001 ssa.py:83(_fix_ssa_vars)
        2    0.000    0.000    0.041    0.020 __config__.py:1(<module>)
      247    0.000    0.000    0.040    0.000 templates.py:1100(_init_once)
       13    0.000    0.000    0.040    0.003 codegen.py:667(_optimize_final_module)
     9629    0.004    0.000    0.040    0.000 ffi.py:83(__exit__)
    21282    0.010    0.000    0.039    0.000 event.py:209(broadcast)
       24    0.000    0.000    0.039    0.002 lowering.py:812(lower_getitem)
        1    0.000    0.000    0.039    0.039 hashlib.py:1(<module>)
       14    0.000    0.000    0.039    0.003 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.039    0.020 hashlib.py:82(__get_builtin_constructor)
       38    0.010    0.000    0.038    0.001 patch_radiation.py:118(_class_coefficients)
       11    0.000    0.000    0.037    0.003 caching.py:724(_load_overload)
     1124    0.006    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
       13    0.000    0.000    0.037    0.003 untyped_passes.py:224(run_pass)
      270    0.001    0.000    0.037    0.000 persistence.py:52(_sync_file)
        2    0.000    0.000    0.037    0.018 ir_utils.py:1(<module>)
        2    0.000    0.000    0.037    0.018 polygons.py:276(derive_payload_offset_table)
    10641    0.007    0.000    0.036    0.000 event.py:404(end_event)
     9629    0.004    0.000    0.036    0.000 ffi.py:77(__enter__)
       10    0.002    0.000    0.036    0.004 polygons.py:265(read)
     4284    0.003    0.000    0.036    0.000 visibility_native.py:98(decode_patch)
142439/142438    0.007    0.000    0.036    0.000 {method 'extend' of 'list' objects}
      252    0.036    0.000    0.036    0.000 ground_view.py:126(_gather_serial)
      260    0.000    0.000    0.036    0.000 gdal.py:5547(FlushCache)
      260    0.036    0.000    0.036    0.000 {built-in method osgeo._gdal.Dataset_FlushCache}
      630    0.000    0.000    0.036    0.000 patch_radiation.py:317(<genexpr>)
     9621    0.003    0.000    0.035    0.000 base.py:1268(exit_fn)
   293014    0.035    0.000    0.035    0.000 {built-in method numpy.asarray}
     5959    0.010    0.000    0.035    0.000 context.py:653(_rate_arguments)
24323/330    0.016    0.000    0.035    0.000 copy.py:128(deepcopy)
      240    0.000    0.000    0.035    0.000 gdal.py:9864(FlushCache)
     1103    0.001    0.000    0.034    0.000 inspect.py:3261(signature)
      240    0.034    0.000    0.034    0.000 {built-in method osgeo._gdal.Band_FlushCache}
     1103    0.001    0.000    0.034    0.000 inspect.py:3007(from_callable)
        2    0.000    0.000    0.034    0.017 extending.py:1(<module>)
 1390/286    0.004    0.000    0.034    0.000 copy.py:227(_deepcopy_dict)
1137/1104    0.004    0.000    0.033    0.000 inspect.py:2435(_signature_from_callable)
     1026    0.033    0.000    0.033    0.000 visibility_compiled.py:17(_decode)
        2    0.000    0.000    0.033    0.017 config.py:1(<module>)
      103    0.000    0.000    0.033    0.000 transforms.py:362(canonicalize_cfg)
      690    0.033    0.000    0.033    0.000 {built-in method io.open_code}
      103    0.000    0.000    0.033    0.000 transforms.py:292(canonicalize_cfg_single_backedge)
     4284    0.018    0.000    0.032    0.000 visibility.py:128(decode_patch)
     1567    0.002    0.000    0.032    0.000 context.py:441(resolve_value_type)
     2728    0.003    0.000    0.032    0.000 base.py:352(install_registry)
      662    0.032    0.000    0.032    0.000 {built-in method posix.fsync}
    10641    0.008    0.000    0.032    0.000 event.py:390(start_event)
        1    0.000    0.000    0.032    0.032 gdal.py:1(<module>)
       70    0.000    0.000    0.031    0.000 _util.py:1148(decorator)
     9621    0.003    0.000    0.031    0.000 base.py:1265(enter_fn)
     6745    0.031    0.000    0.031    0.000 {method 'read' of '_io.FileIO' objects}
      240    0.001    0.000    0.031    0.000 persistence.py:187(_band_digest)
       13    0.002    0.000    0.031    0.002 byteflow.py:86(run)
     2460    0.005    0.000    0.031    0.000 textwrap.py:419(dedent)
9107/8515    0.003    0.000    0.031    0.000 contextlib.py:132(__enter__)
      103    0.001    0.000    0.031    0.000 postproc.py:46(livemap)
     1278    0.002    0.000    0.030    0.000 _docscrape.py:201(_read_to_next_section)
      262    0.000    0.000    0.030    0.000 controlflow.py:214(_back_edges)
      275    0.003    0.000    0.030    0.000 controlflow.py:616(_find_back_edges)
     1354    0.001    0.000    0.030    0.000 _docscrape.py:212(_read_sections)
    80790    0.021    0.000    0.030    0.000 targetconfig.py:111(getter)
        1    0.000    0.000    0.030    0.030 f2py2e.py:1(<module>)
        1    0.000    0.000    0.030    0.030 __init__.py:140(timezone)
       11    0.000    0.000    0.030    0.003 caching.py:477(rebuild)
       11    0.000    0.000    0.029    0.003 compiler.py:227(_rebuild)
      103    0.000    0.000    0.029    0.000 analysis.py:60(compute_live_map)
      245    0.000    0.000    0.029    0.000 gdal.py:10754(ReadAsArray)
       24    0.003    0.000    0.029    0.001 engine.py:1336(Lside_veg_v2022a)
      172    0.000    0.000    0.029    0.000 _parser.py:979(parse)
     1663    0.001    0.000    0.029    0.000 targetconfig.py:188(__hash__)
      245    0.001    0.000    0.029    0.000 gdal_array.py:597(BandReadAsArray)
        2    0.000    0.000    0.029    0.014 builtins.py:1(<module>)
        1    0.000    0.000    0.029    0.029 lazy.py:150(_lazy)
        1    0.000    0.000    0.028    0.028 lazy.py:97(_lazy)
     3083    0.010    0.000    0.028    0.000 utils.py:306(order_by_target_specificity)
       33    0.000    0.000    0.028    0.001 postproc.py:158(_insert_var_dels)
      598    0.000    0.000    0.028    0.000 __init__.py:1125(<genexpr>)
       33    0.007    0.000    0.028    0.001 postproc.py:179(_patch_var_dels)
      103    0.000    0.000    0.028    0.000 transforms.py:315(yield_loops_with_multiple_backedges)
  899/172    0.002    0.000    0.028    0.000 _parser.py:456(_parse_sub)
      485    0.000    0.000    0.028    0.000 gdal_array.py:264(BandRasterIONumPy)
      129    0.000    0.000    0.028    0.000 controlflow.py:226(_loops)
      129    0.001    0.000    0.028    0.000 controlflow.py:691(_find_loops)
      116    0.000    0.000    0.028    0.000 controlflow.py:279(loops)
      597    0.001    0.000    0.028    0.000 __init__.py:121(resource_exists)
      485    0.028    0.000    0.028    0.000 {built-in method osgeo._gdal_array.BandRasterIONumPy}
       51    0.001    0.000    0.028    0.001 persistence.py:57(_atomic_json)
        1    0.000    0.000    0.028    0.028 runtime.py:1(<module>)
 1371/207    0.011    0.000    0.028    0.000 _parser.py:516(_parse)
       11    0.000    0.000    0.028    0.003 codegen.py:1168(unserialize_library)
        1    0.000    0.000    0.028    0.028 cffi_utils.py:1(<module>)
       11    0.000    0.000    0.028    0.003 codegen.py:936(_unserialize)
     1670    0.003    0.000    0.028    0.000 typeof.py:27(typeof)
    23198    0.013    0.000    0.027    0.000 event.py:243(notify)
56339/47772    0.017    0.000    0.027    0.000 abstract.py:121(__hash__)
        1    0.000    0.000    0.027    0.027 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.027    0.027 geometry.py:287(get_or_create)
        3    0.000    0.000    0.027    0.009 inline_closurecall.py:504(run_untyped_passes)
     7212    0.006    0.000    0.026    0.000 instructions.py:13(__init__)
    84756    0.012    0.000    0.026    0.000 <frozen abc>:117(__instancecheck__)
   188444    0.016    0.000    0.026    0.000 {method 'get' of 'dict' objects}
       36    0.000    0.000    0.026    0.001 _npyio_impl.py:311(load)
